"6173";"A. Abdi";"31";"69";"69";"1833";"desno";"13";"900"
"8938";"A. Acosta";"30";"66";"66";"1879";"lijevo";"13";"475"
"1679";"A. Adomah";"30";"75";"75";"1853";"desno";"20";"6.5"
"2157";"A. Ajeti";"21";"74";"81";"1765";"desno";"19";"8"
"7272";"A. Al Bulayhi";"28";"68";"68";"1445";"lijevo";"14";"725"
"11587";"A. Al Dohaim";"24";"64";"69";"1566";"desno";"6";"500"
"8874";"A. Al Faraj";"29";"66";"66";"1742";"desno";"10";"500"
"14124";"A. Al Fiqi";"25";"61";"64";"1530";"lijevo";"6";"325"
"7571";"A. Al Fraidi";"30";"67";"67";"1807";"desno";"12";"725"
"8628";"A. Al Ghamdi";"23";"66";"72";"1769";"lijevo";"9";"875"
"3604";"A. Al Habsi";"36";"72";"72";"1249";"desno";"12";"425"
"7885";"A. Al Hafith";"25";"67";"72";"1531";"desno";"11";"850"
"6642";"A. Al Jebreen";"28";"68";"68";"1862";"desno";"14";"725"
"5732";"A. Al Khaibari";"32";"69";"69";"1720";"desno";"15";"600"
"9540";"A. Al Mayoof";"31";"66";"66";"1121";"desno";"8";"400"
"8639";"A. Al Obaid";"25";"66";"70";"1850";"lijevo";"9";"675"
"7461";"A. Al Qarni";"34";"67";"67";"1048";"lijevo";"9";"300"
"7862";"A. Al Sahabi";"31";"67";"67";"1555";"desno";"8";"525"
"9435";"A. Al Salem";"25";"66";"68";"1779";"desno";"6";"775"
"11264";"A. Al Shammari";"24";"64";"70";"1533";"lijevo";"6";"525"
"10257";"A. Al Zain";"26";"65";"65";"1684";"desno";"9";"575"
"10143";"A. Al Zaqan";"27";"65";"65";"1625";"desno";"7";"575"
"9839";"A. Al Zori";"30";"65";"65";"1649";"lijevo";"6";"400"
"5764";"A. Aldrete";"30";"69";"69";"1885";"lijevo";"11";"750"
"6695";"A. Almici";"25";"68";"71";"1789";"desno";"9";"925"
"373";"A. Areola";"25";"81";"85";"1266";"desno";"61";"16.5"
"6682";"A. Asiri";"26";"68";"70";"1498";"desno";"13";"900"
"6073";"A. Avlonitis";"28";"69";"69";"1570";"desno";"10";"850"
"11126";"A. Awaji";"28";"64";"64";"1696";"lijevo";"8";"450"
"1118";"A. Ayew";"28";"77";"77";"2074";"lijevo";"35";"9"
"2307";"A. Baba";"23";"74";"79";"1879";"lijevo";"56";"6.5"
"1183";"A. Barák";"23";"77";"84";"1965";"lijevo";"24";"12.5"
"7879";"A. Barillà";"30";"67";"67";"1960";"lijevo";"13";"700"
"1234";"A. Barnes";"28";"76";"76";"1946";"desno";"55";"8"
"1511";"A. Barreca";"23";"75";"80";"1798";"lijevo";"42";"7.5"
"704";"A. Begović";"31";"79";"79";"1234";"desno";"52";"7.5"
"8247";"A. Bell";"24";"67";"74";"1735";"lijevo";"11";"900"
"253";"A. Belotti";"24";"82";"87";"1962";"desno";"58";"30"
"10964";"A. Bernede";"19";"64";"75";"1625";"lijevo";"6";"750"
"978";"A. Bertolacci";"27";"77";"77";"2041";"lijevo";"75";"9"
"1584";"A. Blake";"27";"75";"78";"1148";"desno";"6";"5.5"
"6141";"A. Blanco";"30";"69";"69";"1126";"lijevo";"10";"675"
"6310";"A. Bodzek";"32";"69";"69";"1780";"desno";"12";"600"
"5467";"A. Bogdán";"30";"69";"69";"1089";"desno";"28";"675"
"11448";"A. Bongiovanni";"18";"64";"79";"1651";"desno";"6";"925"
"2097";"A. Boruc";"38";"74";"74";"1159";"desno";"24";"375"
"2738";"A. Browne";"23";"73";"78";"2041";"desno";"11";"5.5"
"8494";"A. Bruce";"33";"67";"67";"1419";"desno";"16";"300"
"3636";"A. Çamdalı";"34";"72";"72";"1858";"desno";"10";"950"
"394";"A. Candreva";"31";"81";"81";"2084";"desno";"74";"15.5"
"9098";"A. Capello";"22";"66";"72";"1628";"desno";"8";"900"
"832";"A. Carrillo";"27";"78";"78";"1928";"desno";"14";"11"
"952";"A. Carroll";"29";"77";"77";"1839";"lijevo";"80";"9"
"2321";"A. Cerci";"30";"74";"74";"1872";"lijevo";"21";"5.5"
